P_NAME,P_HABZONE,P_TYPE_TEMP,P_TYPE
11 Com b,0,Hot,Jovian
11 UMi b,0,Hot,Jovian
14 And b,0,Hot,Jovian
14 Her b,0,Cold,Jovian
16 Cyg B b,2,Warm,Jovian
18 Del b,0,Hot,Jovian
1RXS J160929.1-210524 b,0,,Jovian
24 Boo b,0,Hot,Jovian
24 Sex b,0,Hot,Jovian
24 Sex c,0,Hot,Jovian
2MASS J01225093-2439505 b,0,,Jovian
2MASS J02192210-3925225 b,0,Cold,Jovian
2MASS J04414489+2301513 b,0,,Jovian
2MASS J12073346-3932539 b,0,,Jovian
2MASS J19383260+4603591 b,0,,Jovian
2MASS J21402931+1625183 A b,0,Cold,Jovian
2MASS J22362452+4751425 b,0,,Jovian
30 Ari B b,0,Hot,Jovian
4 UMa b,0,Hot,Jovian
42 Dra b,0,Hot,Jovian
47 UMa b,2,Warm,Jovian
47 UMa c,0,Cold,Jovian
47 UMa d,0,Cold,Jovian
51 Eri b,0,,
51 Peg b,0,Hot,Jovian
55 Cnc b,0,Hot,Jovian
55 Cnc c,0,Hot,Jovian
55 Cnc d,0,Cold,Jovian
55 Cnc e,0,Hot,Superterran
55 Cnc f,2,Warm,Neptunian
6 Lyn b,0,Hot,Jovian
61 Vir b,0,Hot,Superterran
61 Vir c,0,Hot,Neptunian
61 Vir d,0,Hot,Neptunian
7 CMa b,2,Warm,Jovian
70 Vir b,0,Hot,Jovian
75 Cet b,0,Hot,Jovian
8 UMi b,0,Hot,Jovian
81 Cet b,0,Hot,Jovian
91 Aqr b,0,Hot,Jovian
AB Pic b,0,,Jovian
alf Ari b,0,Hot,Jovian
alf Tau b,0,Hot,Jovian
BD+03 2562 b,0,Hot,Jovian
BD+14 4559 b,2,Warm,Jovian
BD+15 2375 b,0,Hot,Jovian
BD+15 2940 b,0,Hot,Jovian
BD+20 2457 b,0,Hot,Jovian
BD+20 2457 c,0,Hot,Jovian
BD+20 274 b,0,Hot,Jovian
BD+20 594 b,0,Hot,Neptunian
BD+48 738 b,0,Hot,Jovian
BD+48 740 b,0,Hot,Jovian
BD+49 828 b,0,Hot,Jovian
BD-06 1339 b,0,Hot,Superterran
BD-06 1339 c,2,Warm,Jovian
BD-08 2823 b,0,Hot,Neptunian
BD-08 2823 c,2,Warm,Jovian
BD-10 3166 b,0,Hot,Jovian
BD-11 4672 b,0,Cold,Jovian
BD-13 2130 b,0,Hot,Jovian
BD-17 63 b,0,Cold,Jovian
bet Cnc b,0,Hot,Jovian
bet Pic b,0,,
bet Pic c,0,,Jovian
bet UMi b,0,Hot,Jovian
CFBDSIR J145829+101343 b,0,Cold,Jovian
CHXR 73 b,0,,Jovian
CI Tau b,0,,Jovian
CoRoT-1 b,0,Hot,Jovian
CoRoT-10 b,0,Hot,Jovian
CoRoT-11 b,0,Hot,Jovian
CoRoT-12 b,0,Hot,Jovian
CoRoT-13 b,0,Hot,Jovian
CoRoT-14 b,0,Hot,Jovian
CoRoT-16 b,0,Hot,Jovian
CoRoT-17 b,0,Hot,Jovian
CoRoT-18 b,0,Hot,Jovian
CoRoT-19 b,0,Hot,Jovian
CoRoT-2 b,0,Hot,Jovian
CoRoT-20 b,0,,Jovian
CoRoT-20 c,0,,Jovian
CoRoT-21 b,0,Hot,Jovian
CoRoT-22 b,0,Hot,Neptunian
CoRoT-23 b,0,Hot,Jovian
CoRoT-24 b,0,Hot,Neptunian
CoRoT-24 c,0,Hot,Neptunian
CoRoT-25 b,0,Hot,Jovian
CoRoT-26 b,0,Hot,Jovian
CoRoT-27 b,0,Hot,Jovian
CoRoT-28 b,0,Hot,Jovian
CoRoT-29 b,0,Hot,Jovian
CoRoT-3 b,0,Hot,Jovian
CoRoT-4 b,0,Hot,Jovian
CoRoT-5 b,0,Hot,Jovian
CoRoT-6 b,0,Hot,Jovian
CoRoT-7 b,0,Hot,Superterran
CoRoT-7 c,0,Hot,Superterran
CoRoT-8 b,0,Hot,Jovian
CoRoT-9 b,0,Hot,Jovian
CoRoTID 223977153 b,0,Hot,Jovian
CT Cha b,0,,Jovian
DE CVn b,0,,Jovian
DENIS-P J082303.1-491201 b,0,,Jovian
DH Tau b,0,,Jovian
DP Leo b,0,Cold,Jovian
DS Tuc A b,0,Hot,Neptunian
EPIC 201238110 b,0,,Superterran
EPIC 201497682 b,0,,Subterran
EPIC 201615463 c,0,,Terran
EPIC 201754305 d,0,,Terran
EPIC 201833600 c,0,,Terran
EPIC 201841433 b,0,,Terran
EPIC 205950854 c,0,Hot,Terran
EPIC 206024342 b,0,,Superterran
EPIC 206032309 b,0,,Terran
EPIC 206042996 b,0,,Superterran
EPIC 206215704 b,0,,Terran
EPIC 206317286 b,0,,Terran
EPIC 211822797 b,0,Hot,Superterran
EPIC 211945201 b,0,Hot,Neptunian
EPIC 212297394 b,0,,Terran
EPIC 212424622 b,0,,Superterran
EPIC 212499991 b,0,,Superterran
EPIC 212587672 b,0,,Terran
EPIC 212737443 b,0,Hot,Neptunian
EPIC 212737443 c,0,Hot,Neptunian
EPIC 220554210 c,0,,Terran
EPIC 220674823 b,0,Hot,Superterran
EPIC 220674823 c,0,Hot,Neptunian
EPIC 246851721 b,0,Hot,Jovian
EPIC 246865365 b,0,Hot,Jovian
EPIC 248847494 b,0,Cold,Jovian
eps CrB b,0,Hot,Jovian
eps Eri b,0,,Jovian
eps Tau b,0,Hot,Jovian
Fomalhaut b,0,,
FU Tau b,0,,Jovian
gam 1 Leo b,0,Hot,Jovian
gam Cep b,0,,Jovian
gam Lib b,0,Hot,Jovian
gam Lib c,0,Hot,Jovian
GJ 1061 b,0,Hot,Terran
GJ 1061 c,1,Warm,Terran
GJ 1061 d,2,Warm,Terran
GJ 1132 b,0,Hot,Terran
GJ 1132 c,0,Hot,Terran
GJ 1148 b,2,Warm,Jovian
GJ 1148 c,0,Cold,Jovian
GJ 1214 b,0,Hot,Neptunian
GJ 1265 b,0,Hot,Superterran
GJ 143 b,0,Hot,Neptunian
GJ 163 b,0,Hot,Neptunian
GJ 163 c,1,Warm,Superterran
GJ 163 d,0,Cold,Neptunian
GJ 179 b,0,Cold,Jovian
GJ 273 b,1,Warm,Terran
GJ 273 c,0,Hot,Terran
GJ 3021 b,0,Hot,Jovian
GJ 3138 b,0,Hot,Terran
GJ 3138 c,0,Hot,Terran
GJ 3138 d,0,Cold,Neptunian
GJ 317 b,0,,Jovian
GJ 317 c,0,,Jovian
GJ 328 b,0,,Jovian
GJ 3293 b,1,Warm,Neptunian
GJ 3293 c,0,Cold,Neptunian
GJ 3293 d,2,Warm,Superterran
GJ 3293 e,0,Hot,Terran
GJ 3323 b,1,Warm,Terran
GJ 3323 c,0,Cold,Terran
GJ 3341 b,0,Hot,Superterran
GJ 3470 b,0,Hot,Neptunian
GJ 357 b,0,Hot,Terran
GJ 357 c,0,Hot,Terran
GJ 357 d,2,Warm,Superterran
GJ 3634 b,0,,Superterran
GJ 3779 b,0,Hot,Superterran
GJ 3942 b,0,Hot,Superterran
GJ 3998 b,0,Hot,Terran
GJ 3998 c,0,Hot,Superterran
GJ 411 b,0,Hot,Terran
GJ 4276 b,0,Hot,Neptunian
GJ 433 b,0,Hot,Superterran
GJ 436 b,0,,Neptunian
GJ 504 b,0,Cold,Jovian
GJ 536 b,0,Hot,Superterran
GJ 581 b,0,Hot,Neptunian
GJ 581 c,0,Hot,Superterran
GJ 581 e,0,Hot,Terran
GJ 625 b,0,Hot,Terran
GJ 649 b,0,,Jovian
GJ 667 C b,0,Hot,Superterran
GJ 667 C c,1,Warm,Terran
GJ 667 C e,2,Warm,Terran
GJ 667 C f,2,Warm,Terran
GJ 667 C g,0,Cold,Terran
GJ 674 b,0,,Neptunian
GJ 676 A b,0,Cold,Jovian
GJ 676 A c,0,Cold,Jovian
GJ 676 A d,0,Hot,Terran
GJ 676 A e,0,Hot,Superterran
GJ 685 b,0,Hot,Superterran
GJ 687 b,2,Warm,Neptunian
GJ 832 b,0,Cold,Jovian
GJ 832 c,1,Warm,Superterran
GJ 849 b,0,Cold,Jovian
GJ 86 b,0,Hot,Jovian
GJ 876 b,0,,Jovian
GJ 876 c,0,,Jovian
GJ 876 d,0,,Superterran
GJ 876 e,0,,Neptunian
GJ 96 b,0,,Neptunian
GJ 9827 b,0,Hot,Superterran
GJ 9827 c,0,Hot,Terran
GJ 9827 d,0,Hot,Superterran
Gl 378 b,0,Hot,Neptunian
Gl 49 b,0,Hot,Superterran
Gl 686 b,0,Hot,Superterran
GQ Lup b,0,,Jovian
GSC 06214-00210 b,0,,Jovian
GU Psc b,0,,Jovian
HAT-P-1 b,0,Hot,Jovian
HAT-P-11 b,0,Hot,Neptunian
HAT-P-11 c,0,Cold,Jovian
HAT-P-12 b,0,Hot,Jovian
HAT-P-13 b,0,Hot,Jovian
HAT-P-13 c,1,Warm,Jovian
HAT-P-14 b,0,Hot,Jovian
HAT-P-15 b,0,Hot,Jovian
HAT-P-16 b,0,Hot,Jovian
HAT-P-17 b,0,Hot,Jovian
HAT-P-17 c,0,Cold,Jovian
HAT-P-18 b,0,Hot,Jovian
HAT-P-19 b,0,Hot,Jovian
HAT-P-2 b,0,Hot,Jovian
HAT-P-20 b,0,Hot,Jovian
HAT-P-21 b,0,Hot,Jovian
HAT-P-22 b,0,Hot,Jovian
HAT-P-23 b,0,Hot,Jovian
HAT-P-24 b,0,Hot,Jovian
HAT-P-25 b,0,Hot,Jovian
HAT-P-26 b,0,Hot,Jovian
HAT-P-27 b,0,Hot,Jovian
HAT-P-28 b,0,Hot,Jovian
HAT-P-29 b,0,Hot,Jovian
HAT-P-3 b,0,Hot,Jovian
HAT-P-30 b,0,Hot,Jovian
HAT-P-31 b,0,Hot,Jovian
HAT-P-32 b,0,Hot,Jovian
HAT-P-33 b,0,Hot,Jovian
HAT-P-34 b,0,Hot,Jovian
HAT-P-35 b,0,Hot,Jovian
HAT-P-36 b,0,Hot,Jovian
HAT-P-37 b,0,Hot,Jovian
HAT-P-38 b,0,Hot,Jovian
HAT-P-39 b,0,Hot,Jovian
HAT-P-4 b,0,,Jovian
HAT-P-40 b,0,Hot,Jovian
HAT-P-41 b,0,Hot,Jovian
HAT-P-42 b,0,Hot,Jovian
HAT-P-43 b,0,Hot,Jovian
HAT-P-44 b,0,Hot,Jovian
HAT-P-44 c,0,Cold,Jovian
HAT-P-45 b,0,Hot,Jovian
HAT-P-46 b,0,Hot,Jovian
HAT-P-49 b,0,Hot,Jovian
HAT-P-5 b,0,Hot,Jovian
HAT-P-50 b,0,Hot,Jovian
HAT-P-51 b,0,Hot,Jovian
HAT-P-52 b,0,Hot,Jovian
HAT-P-53 b,0,Hot,Jovian
HAT-P-54 b,0,Hot,Jovian
HAT-P-55 b,0,Hot,Jovian
HAT-P-56 b,0,Hot,Jovian
HAT-P-57 b,0,Hot,Jovian
HAT-P-6 b,0,Hot,Jovian
HAT-P-65 b,0,Hot,Jovian
HAT-P-66 b,0,Hot,Jovian
HAT-P-67 b,0,Hot,Jovian
HAT-P-69 b,0,Hot,Jovian
HAT-P-7 b,0,Hot,Jovian
HAT-P-70 b,0,Hot,Jovian
HAT-P-8 b,0,Hot,Jovian
HAT-P-9 b,0,Hot,Jovian
HATS-1 b,0,Hot,Jovian
HATS-10 b,0,Hot,Jovian
HATS-11 b,0,Hot,Jovian
HATS-12 b,0,Hot,Jovian
HATS-13 b,0,Hot,Jovian
HATS-14 b,0,Hot,Jovian
HATS-15 b,0,Hot,Jovian
HATS-16 b,0,Hot,Jovian
HATS-17 b,0,Hot,Jovian
HATS-18 b,0,Hot,Jovian
HATS-2 b,0,Hot,Jovian
HATS-22 b,0,Hot,Jovian
HATS-23 b,0,Hot,Jovian
HATS-24 b,0,Hot,Jovian
HATS-25 b,0,Hot,Jovian
HATS-26 b,0,Hot,Jovian
HATS-27 b,0,Hot,Jovian
HATS-28 b,0,Hot,Jovian
HATS-29 b,0,Hot,Jovian
HATS-3 b,0,Hot,Jovian
HATS-30 b,0,Hot,Jovian
HATS-31 b,0,Hot,Jovian
HATS-32 b,0,Hot,Jovian
HATS-33 b,0,Hot,Jovian
HATS-34 b,0,Hot,Jovian
HATS-35 b,0,Hot,Jovian
HATS-36 b,0,Hot,Jovian
HATS-39 b,0,Hot,Jovian
HATS-4 b,0,Hot,Jovian
HATS-40 b,0,Hot,Jovian
HATS-41 b,0,Hot,Jovian
HATS-42 b,0,Hot,Jovian
HATS-43 b,0,Hot,Jovian
HATS-44 b,0,Hot,Jovian
HATS-45 b,0,Hot,Jovian
HATS-46 b,0,Hot,Jovian
HATS-5 b,0,Hot,Jovian
HATS-50 b,0,Hot,Jovian
