pl_name,host_star,pl_ltr,sys_stars,sys_planets,sys_moons,disc_method,disc_year,disc_location,disc_facility,orb_period,pl_radius_e,pl_mass_e,pl_density,pl_insol,pl_temp_k,st_type,st_temp_k,st_radius_s,st_mass_s,st_bright,st_gravity,st_age,st_density,ga_lat,ga_long,distance,habit_code,P_HABZONE,P_TYPE_TEMP,P_TYPE
11 Com b,11 Com,b,2,1,0,Radial Velocity,2007,Ground,Xinglong Station,326.03,12.1,6165.6,19.1,,,G8 III,4742,19,2.7,2.243,2.31,,,78.28055,264.1407,93.1846,0.0,0.0,Hot,Jovian
11 UMi b,11 UMi,b,1,1,0,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,516.21997,12.3,4684.8142,13.8,,,K4 III,4213,29.79,2.78,2.4,1.93,1.56,,41.04441,108.719,125.321,0.0,0.0,Hot,Jovian
14 And b,14 And,b,1,1,0,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,185.84,12.9,1525.5,3.9,,,K0 III,4813,11,2.2,1.763,2.63,,,-21.05067,106.4116,75.4392,0.0,0.0,Hot,Jovian
14 Her b,14 Her,b,1,1,0,Radial Velocity,2002,Ground,W. M. Keck Observatory,1773.40002,12.9,1481.0878,3.79,,,K0 V,5338,0.93,0.9,-0.153,4.45,3.9,1.27393,46.94491,69.17043,17.9323,0.0,0.0,Cold,Jovian
16 Cyg B b,16 Cyg B,b,3,1,0,Radial Velocity,1996,Ground,Multiple Observatories,798.5,13.5,565.7374,1.26,,,G3 V,5750,1.13,1.08,0.097,4.36,,1.01103,13.20426,83.33649,21.1397,0.0,2.0,Warm,Jovian
18 Del b,18 Del,b,2,1,0,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,993.3,12.5,3273.5,9.21,,,G6 III,4979,8.5,2.3,1.602,2.82,,,-21.97489,58.69147,76.222,0.0,0.0,Hot,Jovian
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,Imaging,2008,Ground,Gemini Observatory,,18.647,3000,2.54,,1700,K7 V,4060,1.31,0.85,-0.37,4,0.005,0.38789,22.03035,352.8906,139.135,0.0,0.0,,Jovian
24 Boo b,24 Boo,b,1,1,0,Radial Velocity,2018,Ground,Okayama Astrophysical Observatory,30.3506,13.9,289.2253,0.592,,,G3 IV,4893,10.64,0.99,1.774,2.42,6.92,,60.64358,90.16227,95.9863,0.0,0.0,Hot,Jovian
24 Sex b,24 Sex,b,1,2,0,Radial Velocity,2010,Ground,Lick Observatory,452.8,13.4,632.46,1.44,,,,5098,4.9,1.54,1.164,3.5,2.7,,44.7157,245.0853,72.0691,0.0,0.0,Hot,Jovian
24 Sex c,24 Sex,c,1,2,0,Radial Velocity,2010,Ground,Lick Observatory,883,13.9,273.32,0.559,,,,5098,4.9,1.54,1.164,3.5,2.7,,44.7157,245.0853,72.0691,0.0,0.0,Hot,Jovian
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,0,Imaging,2013,Ground,Paranal Observatory,,12.3,4131.79,12.2,,,M5.5/M6,,,0.19,,,0.03,,-61.77612,299.2698,,0.0,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,0,Imaging,2013,Ground,W. M. Keck Observatory,,11.209,7786.5,30.4,,1600,M3.5 V,3530,0.37,0.4,-1.72,4.86,0.12,10.11868,-82.52019,195.4486,33.8281,0.0,0.0,,Jovian
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,0,Imaging,2015,Ground,Cerro Tololo Inter-American Observatory,,16.141,4417.837,5.77,,,M6,3064,0.28,0.11,-2.23,4.59,0.035,,-67.98402,252.4534,,0.0,0.0,Cold,Jovian
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,0,Imaging,2010,Space,Hubble Space Telescope,,12.6,2383.6,6.55,,,M8.5,,,0.02,,,0.001,,-15.11435,176.5106,,0.0,0.0,,Jovian
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,0,Imaging,2004,Ground,Paranal Observatory,,13,1271,3.18,,1150,M8,2825,0.22,0.19,-2.561,5.03,0.008,25.27945,22.54324,293.7904,64.308,0.0,0.0,,Jovian
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,1,0,Eclipse Timing Variations,2015,Space,Kepler,416,13.4,603.877,1.38,,,,,,0.48,,,,,11.67429,79.01876,396.332,0.0,0.0,,Jovian
